Timestamp,Temperatura,Umidità
2023-05-27 12:48:20,19.6°,53.4%
2023-05-27 12:48:21,19.7°,53.3%
2023-05-27 12:48:22,19.5°,52.8%
2023-05-27 12:48:23,19.4°,53.0%
2023-05-27 12:48:24,19.5°,53.4%
2023-05-27 12:48:25,19.5°,53.1%
2023-05-27 12:48:26,19.4°,52.8%
2023-05-27 12:48:27,19.6°,53.5%
2023-05-27 12:48:28,19.6°,52.7%
2023-05-27 12:48:29,19.5°,53.1%
2023-05-27 12:48:30,19.7°,53.0%
2023-05-27 12:48:31,19.6°,53.1%
2023-05-27 12:48:32,19.7°,52.7%
2023-05-27 12:48:33,19.8°,52.7%
2023-05-27 12:48:34,19.9°,52.8%
2023-05-27 12:48:35,19.8°,53.2%
2023-05-27 12:48:36,20.0°,53.1%
2023-05-27 12:48:37,20.1°,53.4%
2023-05-27 12:48:38,20.2°,52.7%
2023-05-27 12:48:39,20.1°,52.8%
2023-05-27 12:48:40,20.1°,52.8%
2023-05-27 12:48:41,20.2°,52.9%
2023-05-27 12:48:42,20.1°,53.2%
2023-05-27 12:48:43,20.2°,52.8%
2023-05-27 12:48:44,20.0°,52.5%
2023-05-27 12:48:45,20.0°,53.0%
2023-05-27 12:48:46,20.1°,52.9%
2023-05-27 12:48:47,20.3°,53.4%
2023-05-27 12:48:48,20.3°,53.0%
2023-05-27 12:48:49,20.3°,53.4%
2023-05-27 12:48:50,20.4°,52.6%
2023-05-27 12:48:51,20.4°,52.8%
2023-05-27 12:48:52,20.5°,53.1%
2023-05-27 12:48:53,20.5°,53.3%
2023-05-27 12:48:55,20.6°,52.7%
2023-05-27 12:48:56,20.5°,53.0%
2023-05-27 12:48:57,20.5°,53.3%
2023-05-27 12:48:58,20.6°,53.4%
2023-05-27 12:48:59,20.7°,53.5%
2023-05-27 12:49:00,20.7°,53.1%
2023-05-27 12:49:01,20.8°,52.8%
2023-05-27 12:49:02,20.9°,53.4%
2023-05-27 12:49:03,21.0°,53.1%
2023-05-27 12:49:04,20.9°,52.8%
2023-05-27 12:49:05,21.1°,52.9%
2023-05-27 12:49:06,20.9°,53.4%
2023-05-27 12:49:07,20.8°,52.5%
2023-05-27 12:49:08,20.7°,53.0%
2023-05-27 12:49:09,20.6°,53.1%
2023-05-27 12:49:10,20.7°,52.5%
2023-05-27 12:49:11,20.5°,52.9%
2023-05-27 12:49:12,20.4°,53.2%
2023-05-27 12:49:13,20.3°,53.1%
2023-05-27 12:49:14,20.5°,52.7%
2023-05-27 12:49:15,20.6°,52.6%
2023-05-27 12:49:16,20.8°,52.9%
2023-05-27 12:49:17,20.8°,52.6%
2023-05-27 12:49:18,20.7°,52.6%
2023-05-27 12:49:19,20.9°,52.9%
2023-05-27 12:49:20,20.8°,53.3%
2023-05-27 12:49:21,20.7°,53.4%
2023-05-27 12:49:22,20.9°,53.4%
2023-05-27 12:49:23,21.1°,53.3%
2023-05-27 12:49:24,21.1°,53.1%
2023-05-27 12:49:25,21.1°,53.0%
2023-05-27 12:49:26,21.1°,53.3%
2023-05-27 12:49:27,21.1°,52.7%
2023-05-27 12:49:28,21.0°,52.6%
2023-05-27 12:49:29,20.9°,53.3%
2023-05-27 12:49:30,21.0°,52.7%
2023-05-27 12:49:31,20.9°,53.2%
2023-05-27 12:49:32,20.8°,52.6%
2023-05-27 12:49:33,20.6°,53.2%
2023-05-27 12:49:34,20.5°,52.8%
2023-05-27 12:49:35,20.7°,52.6%
2023-05-27 12:49:36,20.9°,52.9%
2023-05-27 12:49:37,20.8°,52.6%
2023-05-27 12:49:38,20.9°,52.9%
2023-05-27 12:49:39,21.1°,53.1%
2023-05-27 12:49:40,21.2°,52.7%
2023-05-27 12:49:41,21.1°,53.1%
2023-05-27 12:49:42,21.1°,53.2%
2023-05-27 12:49:43,21.0°,53.3%
2023-05-27 12:49:44,21.0°,52.6%
2023-05-27 12:49:45,21.1°,52.8%
2023-05-27 12:49:46,21.0°,53.4%
2023-05-27 12:49:47,20.9°,53.1%
2023-05-27 12:49:48,20.9°,53.0%
2023-05-27 12:49:49,21.1°,53.5%
2023-05-27 12:49:50,20.9°,53.4%
2023-05-27 12:49:51,20.7°,53.2%
2023-05-27 12:49:52,20.9°,53.3%
2023-05-27 12:49:53,21.0°,53.0%
2023-05-27 12:49:54,20.8°,53.5%
2023-05-27 12:49:55,20.7°,52.5%
2023-05-27 12:49:56,20.9°,52.9%
2023-05-27 12:49:57,20.8°,53.4%
2023-05-27 12:49:58,20.7°,53.2%
2023-05-27 12:49:59,20.8°,52.6%
2023-05-27 12:50:00,20.8°,53.0%
2023-05-27 12:50:01,20.8°,53.1%
2023-05-27 12:50:02,20.9°,52.9%
2023-05-27 12:50:03,20.8°,53.3%
2023-05-27 12:50:04,20.8°,53.0%
2023-05-27 12:50:06,20.7°,53.4%
2023-05-27 12:50:07,20.5°,52.7%
2023-05-27 12:50:08,20.6°,53.2%
2023-05-27 12:50:09,20.5°,52.9%
2023-05-27 12:50:10,20.5°,52.8%
2023-05-27 12:50:11,20.6°,53.3%
2023-05-27 12:50:12,20.5°,52.8%
2023-05-27 12:50:13,20.7°,52.8%
2023-05-27 12:50:14,20.7°,52.9%
2023-05-27 12:50:15,20.9°,53.4%
2023-05-27 12:50:16,21.0°,52.8%
2023-05-27 12:50:17,20.8°,53.4%
2023-05-27 12:50:18,20.8°,52.7%
2023-05-27 12:50:19,20.8°,52.9%
2023-05-27 12:50:20,20.7°,52.7%
2023-05-27 12:50:21,20.7°,53.0%
2023-05-27 12:50:22,20.7°,53.4%
2023-05-27 12:50:23,20.9°,53.0%
2023-05-27 12:50:24,20.8°,52.7%
2023-05-27 12:50:25,20.9°,52.9%
2023-05-27 12:50:26,21.1°,52.6%
2023-05-27 12:50:27,21.0°,53.1%
2023-05-27 12:50:28,20.9°,53.1%
2023-05-27 12:50:29,20.9°,52.6%
2023-05-27 12:50:30,21.0°,52.9%
2023-05-27 12:50:31,20.9°,52.9%
2023-05-27 12:50:32,21.0°,53.1%
2023-05-27 12:50:33,21.0°,52.9%
2023-05-27 12:50:34,21.0°,52.8%
2023-05-27 12:50:35,20.9°,53.2%
2023-05-27 12:50:36,20.9°,53.3%
2023-05-27 12:50:37,21.1°,52.9%
2023-05-27 12:50:38,21.1°,52.5%
2023-05-27 12:50:39,21.3°,53.0%
2023-05-27 12:50:40,21.1°,52.9%
2023-05-27 12:50:41,21.2°,52.8%
2023-05-27 12:50:42,21.1°,53.4%
2023-05-27 12:50:43,21.2°,53.4%
2023-05-27 12:50:44,21.4°,53.4%
2023-05-27 12:50:45,21.3°,53.4%
2023-05-27 12:50:46,21.4°,52.8%
2023-05-27 12:50:47,21.3°,52.6%
2023-05-27 12:50:48,21.2°,53.2%
2023-05-27 12:50:49,21.3°,52.9%
2023-05-27 12:50:50,21.2°,53.0%
2023-05-27 12:50:51,21.3°,52.7%
2023-05-27 12:50:52,21.3°,52.5%
2023-05-27 12:50:53,21.4°,53.3%
2023-05-27 12:50:54,21.4°,52.8%
2023-05-27 12:50:55,21.4°,52.9%
2023-05-27 12:50:56,21.3°,53.4%
2023-05-27 12:50:57,21.2°,52.9%
2023-05-27 12:50:58,21.2°,52.7%
2023-05-27 12:50:59,21.2°,53.0%
2023-05-27 12:51:00,21.0°,52.6%
2023-05-27 12:51:01,20.9°,52.9%
2023-05-27 12:51:02,20.7°,53.1%
2023-05-27 12:51:03,20.8°,53.0%
2023-05-27 12:51:04,20.6°,53.3%
2023-05-27 12:51:05,20.7°,53.0%
2023-05-27 12:51:06,20.8°,53.2%
2023-05-27 12:51:07,21.0°,52.8%
2023-05-27 12:51:08,20.8°,53.5%
2023-05-27 12:51:09,20.6°,52.6%
2023-05-27 12:51:10,20.7°,52.6%
2023-05-27 12:51:11,20.7°,53.4%
2023-05-27 12:51:12,20.7°,52.8%
2023-05-27 12:51:13,20.8°,53.2%
2023-05-27 12:51:14,20.7°,53.4%
2023-05-27 12:51:15,20.8°,52.7%
2023-05-27 12:51:16,20.8°,52.9%
2023-05-27 12:51:17,20.6°,53.1%
2023-05-27 12:51:18,20.4°,52.9%
2023-05-27 12:51:19,20.4°,52.7%
2023-05-27 12:51:20,20.2°,52.7%
2023-05-27 12:51:21,20.1°,52.6%
2023-05-27 12:51:22,20.0°,53.2%
2023-05-27 12:51:23,20.1°,52.9%
2023-05-27 12:51:24,20.0°,53.4%
2023-05-27 12:51:25,19.9°,52.7%
2023-05-27 12:51:26,19.8°,52.6%
2023-05-27 12:51:27,20.0°,53.4%
2023-05-27 12:51:28,19.9°,52.9%
2023-05-27 12:51:29,20.0°,52.6%
2023-05-27 12:51:30,19.9°,52.7%
2023-05-27 12:51:31,20.1°,52.6%
2023-05-27 12:51:32,20.1°,52.8%
2023-05-27 12:51:33,20.2°,52.7%
2023-05-27 12:51:34,20.3°,53.4%
2023-05-27 12:51:35,20.1°,53.4%
2023-05-27 12:51:36,20.1°,53.2%
2023-05-27 12:51:37,20.1°,52.7%
2023-05-27 12:51:38,20.0°,52.8%
2023-05-27 12:51:39,20.0°,53.4%
2023-05-27 12:51:40,19.9°,52.9%
2023-05-27 12:51:41,20.0°,53.0%
2023-05-27 12:51:42,20.2°,52.5%
2023-05-27 12:51:43,20.2°,53.4%
2023-05-27 12:51:44,20.4°,53.5%
2023-05-27 12:51:45,20.4°,53.4%
2023-05-27 12:51:46,20.2°,53.1%
2023-05-27 12:51:47,20.4°,52.6%
2023-05-27 12:51:48,20.3°,52.9%
2023-05-27 12:51:49,20.1°,52.9%
2023-05-27 12:51:50,20.2°,52.6%
2023-05-27 12:51:51,20.1°,52.7%
2023-05-27 12:51:52,20.2°,53.2%
2023-05-27 12:51:53,20.2°,53.2%
2023-05-27 12:51:54,20.4°,52.5%
2023-05-27 12:51:55,20.4°,52.9%
2023-05-27 12:51:56,20.2°,52.6%
2023-05-27 12:51:57,20.3°,53.2%
2023-05-27 12:51:58,20.3°,52.9%
2023-05-27 12:51:59,20.5°,52.5%
2023-05-27 12:52:00,20.6°,52.9%
2023-05-27 12:52:01,20.7°,52.8%
2023-05-27 12:52:02,20.6°,53.2%
2023-05-27 12:52:03,20.5°,53.4%
2023-05-27 12:52:04,20.7°,53.0%
2023-05-27 12:52:05,20.6°,52.7%
2023-05-27 12:52:06,20.5°,53.1%
2023-05-27 12:52:07,20.3°,52.9%
2023-05-27 12:52:08,20.2°,52.6%
2023-05-27 12:52:09,20.1°,53.1%
2023-05-27 12:52:10,20.0°,53.1%
2023-05-27 12:52:11,20.1°,52.7%
2023-05-27 12:52:12,20.1°,52.9%
2023-05-27 12:52:13,19.9°,53.4%
2023-05-27 12:52:14,19.9°,52.6%
2023-05-27 12:52:15,19.8°,53.2%
2023-05-27 12:52:16,19.8°,53.4%
2023-05-27 12:52:17,19.9°,53.4%
2023-05-27 12:52:18,19.8°,53.4%
2023-05-27 12:52:20,19.7°,53.0%
2023-05-27 12:52:21,19.6°,52.6%
2023-05-27 12:52:22,19.6°,53.4%
2023-05-27 12:52:23,19.6°,53.4%
2023-05-27 12:52:24,19.4°,53.0%
2023-05-27 12:52:25,19.3°,52.6%
2023-05-27 12:52:26,19.2°,53.5%
2023-05-27 12:52:27,19.0°,53.3%
2023-05-27 12:52:28,18.8°,53.1%
2023-05-27 12:52:29,18.7°,52.6%
2023-05-27 12:52:30,18.7°,53.3%
2023-05-27 12:52:31,18.8°,52.5%
2023-05-27 12:52:32,18.8°,53.2%
2023-05-27 12:52:33,18.9°,53.3%
2023-05-27 12:52:34,18.9°,53.0%
2023-05-27 12:52:35,18.9°,53.3%
2023-05-27 12:52:36,18.9°,52.9%
2023-05-27 12:52:37,19.0°,53.1%
2023-05-27 12:52:38,19.0°,53.1%
2023-05-27 12:52:39,19.1°,52.5%
2023-05-27 12:52:40,18.9°,52.9%
2023-05-27 12:52:41,18.8°,52.5%
2023-05-27 12:52:42,18.8°,53.0%
2023-05-27 12:52:43,18.8°,52.9%
2023-05-27 12:52:44,18.9°,52.8%
2023-05-27 12:52:45,19.0°,53.1%
2023-05-27 12:52:46,19.0°,53.1%
2023-05-27 12:52:47,19.0°,53.4%
2023-05-27 12:52:48,19.1°,53.5%
2023-05-27 12:52:49,19.3°,52.9%
2023-05-27 12:52:50,19.2°,53.4%
2023-05-27 12:52:51,19.1°,52.7%
2023-05-27 12:52:52,19.0°,52.6%
2023-05-27 12:52:53,19.1°,52.5%
2023-05-27 12:52:54,19.3°,52.7%
2023-05-27 12:52:55,19.1°,52.6%
2023-05-27 12:52:56,19.0°,52.6%
2023-05-27 12:52:57,19.0°,52.5%
2023-05-27 12:52:58,19.2°,53.3%
2023-05-27 12:52:59,19.2°,52.7%
2023-05-27 12:53:00,19.2°,53.1%
2023-05-27 12:53:01,19.2°,52.9%
2023-05-27 12:53:02,19.3°,53.3%
2023-05-27 12:53:03,19.4°,52.6%
2023-05-27 12:53:04,19.5°,52.8%
2023-05-27 12:53:05,19.7°,52.7%
2023-05-27 12:53:06,19.9°,53.1%
2023-05-27 12:53:07,20.0°,52.8%
2023-05-27 12:53:08,20.0°,52.7%
2023-05-27 12:53:09,19.9°,52.5%
2023-05-27 12:53:10,19.8°,52.9%
2023-05-27 12:53:11,19.9°,53.5%
2023-05-27 12:53:12,20.0°,52.9%
2023-05-27 12:53:13,20.0°,53.4%
2023-05-27 12:53:14,20.0°,52.9%
2023-05-27 12:53:15,20.0°,53.2%
2023-05-27 12:53:16,20.1°,53.4%
2023-05-27 12:53:17,20.0°,53.1%
2023-05-27 12:53:18,20.2°,52.8%
2023-05-27 12:53:19,20.3°,52.5%
2023-05-27 12:53:20,20.2°,53.1%
2023-05-27 12:53:21,20.3°,53.1%
2023-05-27 12:53:22,20.4°,53.0%
2023-05-27 12:53:23,20.4°,52.9%
2023-05-27 12:53:24,20.2°,52.5%
2023-05-27 12:53:25,20.4°,53.2%
2023-05-27 12:53:26,20.2°,53.0%
2023-05-27 12:53:27,20.3°,53.2%
2023-05-27 12:53:28,20.2°,52.5%
2023-05-27 12:53:29,20.3°,53.1%
2023-05-27 12:53:30,20.3°,53.0%
2023-05-27 12:53:31,20.1°,52.5%
2023-05-27 12:53:32,19.9°,52.7%
2023-05-27 12:53:33,19.8°,52.7%
2023-05-27 12:53:34,19.8°,52.7%
2023-05-27 12:53:35,19.8°,52.6%
2023-05-27 12:53:36,19.8°,52.6%
2023-05-27 12:53:37,19.6°,53.2%
2023-05-27 12:53:38,19.5°,53.4%
2023-05-27 12:53:39,19.4°,52.7%
2023-05-27 12:53:40,19.5°,53.0%
2023-05-27 12:53:41,19.6°,53.4%
2023-05-27 12:53:42,19.7°,53.1%
2023-05-27 12:53:43,19.8°,52.7%
2023-05-27 12:53:44,19.9°,52.5%
2023-05-27 12:53:45,19.9°,52.5%
2023-05-27 12:53:46,20.0°,52.5%
2023-05-27 12:53:47,20.1°,53.0%
2023-05-27 12:53:48,20.1°,53.3%
2023-05-27 12:53:49,19.9°,52.8%
2023-05-27 12:53:50,20.1°,53.3%
2023-05-27 12:53:51,20.2°,53.4%
2023-05-27 12:53:52,20.0°,52.6%
2023-05-27 12:53:53,19.9°,53.5%
2023-05-27 12:53:54,20.0°,52.6%
2023-05-27 12:53:55,20.0°,53.0%
2023-05-27 12:53:56,20.0°,53.4%
2023-05-27 12:53:57,19.9°,53.1%
2023-05-27 12:53:58,20.0°,53.3%
2023-05-27 12:53:59,20.1°,52.6%
2023-05-27 12:54:00,20.1°,53.4%
2023-05-27 12:54:01,20.1°,53.4%
2023-05-27 12:54:02,20.3°,52.8%
2023-05-27 12:54:03,20.4°,52.8%
2023-05-27 12:54:04,20.3°,53.0%
2023-05-27 12:54:05,20.3°,52.5%
2023-05-27 12:54:06,20.2°,53.3%
2023-05-27 12:54:07,20.2°,53.2%
2023-05-27 12:54:08,20.3°,53.3%
2023-05-27 12:54:09,20.5°,52.8%
2023-05-27 12:54:10,20.7°,53.2%
2023-05-27 12:54:11,20.5°,52.6%
2023-05-27 12:54:12,20.5°,52.9%
2023-05-27 12:54:13,20.7°,52.6%
2023-05-27 12:54:14,20.7°,52.6%
2023-05-27 12:54:15,20.6°,53.0%
2023-05-27 12:54:16,20.6°,52.6%
2023-05-27 12:54:17,20.7°,53.0%
2023-05-27 12:54:18,20.7°,52.9%
2023-05-27 12:54:19,20.7°,52.6%
2023-05-27 12:54:20,20.6°,53.3%
2023-05-27 12:54:21,20.5°,52.8%
2023-05-27 12:54:22,20.6°,52.7%
2023-05-27 12:54:23,20.4°,52.5%
2023-05-27 12:54:24,20.5°,52.8%
2023-05-27 12:54:25,20.4°,53.3%
2023-05-27 12:54:26,20.4°,53.1%
2023-05-27 12:54:27,20.5°,53.3%
2023-05-27 12:54:28,20.7°,52.5%
2023-05-27 12:54:29,20.8°,53.1%
2023-05-27 12:54:30,20.8°,52.6%
2023-05-27 12:54:31,20.7°,53.4%
2023-05-27 12:54:32,20.8°,53.2%
2023-05-27 12:54:33,20.8°,53.0%
2023-05-27 12:54:34,20.8°,53.1%
2023-05-27 12:54:36,20.7°,53.0%
2023-05-27 12:54:37,20.7°,52.7%
2023-05-27 12:54:38,20.7°,53.2%
2023-05-27 12:54:39,20.7°,53.4%
2023-05-27 12:54:40,20.5°,53.2%
2023-05-27 12:54:41,20.5°,53.1%
2023-05-27 12:54:42,20.4°,52.9%
2023-05-27 12:54:43,20.4°,53.3%
2023-05-27 12:54:44,20.5°,52.8%
2023-05-27 12:54:45,20.5°,52.9%
2023-05-27 12:54:46,20.7°,53.1%
2023-05-27 12:54:47,20.8°,53.5%
2023-05-27 12:54:48,20.9°,53.4%
2023-05-27 12:54:49,20.8°,53.4%
2023-05-27 12:54:50,21.0°,53.3%
2023-05-27 12:54:51,20.9°,53.5%
2023-05-27 12:54:52,21.0°,53.0%
2023-05-27 12:54:53,21.0°,53.1%
2023-05-27 12:54:54,20.9°,53.5%
2023-05-27 12:54:55,21.1°,53.1%
2023-05-27 12:54:56,20.9°,52.6%
2023-05-27 12:54:57,21.0°,53.4%
2023-05-27 12:54:58,21.0°,52.7%
2023-05-27 12:54:59,20.9°,52.6%
2023-05-27 12:55:00,20.7°,53.0%
2023-05-27 12:55:01,20.7°,53.5%
2023-05-27 12:55:02,20.7°,52.8%
2023-05-27 12:55:03,20.7°,53.2%
2023-05-27 12:55:04,20.5°,53.2%
2023-05-27 12:55:05,20.5°,53.4%
2023-05-27 12:55:06,20.4°,52.8%
2023-05-27 12:55:07,20.3°,53.0%
2023-05-27 12:55:08,20.1°,53.1%
2023-05-27 12:55:09,20.1°,53.5%
2023-05-27 12:55:10,20.0°,52.5%
2023-05-27 12:55:11,20.1°,53.3%
2023-05-27 12:55:12,19.9°,53.4%
2023-05-27 12:55:13,19.8°,53.1%
2023-05-27 12:55:14,19.8°,53.3%
2023-05-27 12:55:15,19.8°,52.6%
2023-05-27 12:55:16,19.8°,52.5%
2023-05-27 12:55:17,19.9°,53.3%
2023-05-27 12:55:18,20.0°,52.9%
2023-05-27 12:55:19,19.9°,52.6%
2023-05-27 12:55:20,19.9°,52.7%
2023-05-27 12:55:21,20.0°,52.7%
2023-05-27 12:55:22,19.9°,53.4%
2023-05-27 12:55:23,19.9°,53.5%
2023-05-27 12:55:24,19.9°,53.0%
2023-05-27 12:55:25,19.7°,53.1%
2023-05-27 12:55:26,19.7°,52.7%
2023-05-27 12:55:27,19.6°,53.4%
2023-05-27 12:55:28,19.8°,52.8%
2023-05-27 12:55:29,19.8°,52.7%
2023-05-27 12:55:30,19.6°,52.9%
2023-05-27 12:55:31,19.6°,52.9%
2023-05-27 12:55:32,19.4°,52.9%
2023-05-27 12:55:33,19.4°,53.0%
2023-05-27 12:55:34,19.4°,53.2%
2023-05-27 12:55:35,19.5°,53.3%
2023-05-27 12:55:36,19.6°,52.8%
2023-05-27 12:55:37,19.8°,53.0%
2023-05-27 12:55:38,19.7°,52.6%
2023-05-27 12:55:39,19.7°,53.3%
2023-05-27 12:55:40,19.8°,52.7%
2023-05-27 12:55:41,19.6°,53.1%
2023-05-27 12:55:42,19.7°,53.1%
2023-05-27 12:55:43,19.6°,52.8%
2023-05-27 12:55:44,19.6°,53.4%
2023-05-27 12:55:45,19.7°,53.4%
2023-05-27 12:55:46,19.8°,53.3%
2023-05-27 12:55:47,19.6°,53.0%
2023-05-27 12:55:48,19.7°,53.5%
2023-05-27 12:55:49,19.8°,53.4%
2023-05-27 12:55:50,19.6°,53.1%
2023-05-27 12:55:51,19.6°,52.6%
2023-05-27 12:55:52,19.5°,53.3%
2023-05-27 12:55:53,19.5°,52.5%
2023-05-27 12:55:54,19.5°,53.1%
2023-05-27 12:55:55,19.6°,53.1%
2023-05-27 12:55:56,19.8°,53.4%
2023-05-27 12:55:57,19.7°,53.5%
2023-05-27 12:55:58,19.7°,52.6%
2023-05-27 12:55:59,19.6°,52.7%
2023-05-27 12:56:00,19.6°,52.8%
2023-05-27 12:56:01,19.4°,53.2%
2023-05-27 12:56:02,19.6°,53.3%
2023-05-27 12:56:03,19.6°,52.9%
2023-05-27 12:56:04,19.7°,52.9%
2023-05-27 12:56:05,19.8°,52.9%
2023-05-27 12:56:06,19.8°,53.3%
2023-05-27 12:56:07,19.6°,53.5%
2023-05-27 12:56:08,19.6°,52.5%
2023-05-27 12:56:09,19.6°,53.5%
2023-05-27 12:56:10,19.6°,53.1%
2023-05-27 12:56:11,19.5°,52.7%
2023-05-27 12:56:12,19.4°,52.5%
2023-05-27 12:56:13,19.4°,52.8%
2023-05-27 12:56:14,19.4°,52.7%
2023-05-27 12:56:15,19.2°,53.5%
2023-05-27 12:56:16,19.2°,52.9%
2023-05-27 12:56:17,19.0°,52.8%
2023-05-27 12:56:18,18.9°,53.3%
2023-05-27 12:56:19,18.8°,53.0%
2023-05-27 12:56:20,18.6°,52.7%
2023-05-27 12:56:21,18.6°,52.9%
2023-05-27 12:56:22,18.6°,53.2%
2023-05-27 12:56:23,18.5°,53.2%
2023-05-27 12:56:24,18.4°,53.0%
2023-05-27 12:56:25,18.5°,53.4%
2023-05-27 12:56:26,18.6°,52.6%
2023-05-27 12:56:27,18.5°,53.2%
2023-05-27 12:56:28,18.4°,52.8%
2023-05-27 12:56:29,18.3°,53.3%
2023-05-27 12:56:30,18.3°,52.5%
2023-05-27 12:56:31,18.2°,52.8%
2023-05-27 12:56:32,18.1°,53.5%
2023-05-27 12:56:33,18.0°,52.7%
2023-05-27 12:56:34,18.0°,53.2%
2023-05-27 12:56:35,17.9°,53.2%
2023-05-27 12:56:36,18.0°,53.3%
2023-05-27 12:56:37,18.0°,53.1%
2023-05-27 12:56:38,18.0°,52.5%
2023-05-27 12:56:39,18.1°,53.2%
2023-05-27 12:56:40,18.3°,53.2%
2023-05-27 12:56:41,18.4°,52.5%
2023-05-27 12:56:42,18.4°,53.1%
2023-05-27 12:56:43,18.3°,52.8%
2023-05-27 12:56:44,18.4°,53.0%
2023-05-27 12:56:45,18.2°,53.2%
2023-05-27 12:56:47,18.2°,53.0%
2023-05-27 12:56:48,18.0°,53.3%
2023-05-27 12:56:49,18.2°,52.8%
2023-05-27 12:56:50,18.3°,53.3%
2023-05-27 12:56:51,18.3°,53.3%
2023-05-27 12:56:52,18.3°,53.0%
2023-05-27 12:56:53,18.3°,53.4%
2023-05-27 12:56:54,18.3°,52.7%
2023-05-27 12:56:55,18.4°,53.4%
2023-05-27 12:56:56,18.4°,52.6%
2023-05-27 12:56:57,18.5°,53.1%
2023-05-27 12:56:58,18.7°,52.8%
